label	r2	pvalue	MRCA
ST16	0.218939783166203	0	1915.91821287821
ST32	0.285437557654456	0	1968.92349634132
ST38	0.230471461031319	0	1917.78561192344
ST69	0.241411041082222	0	1923.29507090956
ST101	0.238605373395555	0	1908.77977525058
ST117	0.180201284106426	0	1909.91929119838
ST127	0.105654794253816	0	1693.51970068086
ST155	0.112169688325042	0	1871.99428557676
ST156	0.492337810594246	0	1963.96312984291
ST167	0.470541797247441	0	1985.52770986187
ST405	0.207514873773515	0	1915.30802969826
ST410	0.745391954866468	0	1947.25145640383
ST648	0.0856505444601007	1e-04	1928.20026679049
ST2332	0.546313630697679	0	1978.73478551471
